110
1 blackhead
0 blackhead
0 blackhead
0 blackhead
1 blackhead
1 blackhead
1 blackhead
0 blackhead
1 blackhead
1 blackhead
1 blackhead
0 blackhead
0 blackhead
0 blackhead
1 blackhead
0 blackhead
1 blackhead
0 blackhead
0 blackhead
0 blackhead
1 blackhead
1 blackhead
1 blackhead
1 blackhead
1 blackhead
1 blackhead
1 blackhead
1 blackhead
0 noop
0 noop
0 noop
1 noop
0 noop
0 noop
0 noop
1 noop
1 noop
0 noop
1 noop
1 noop
1 noop
0 noop
0 noop
1 noop
1 noop
0 noop
1 noop
1 noop
1 noop
0 noop
1 noop
1 noop
0 noop
1 noop
0 noop
1 blur 20
1 blur 20
1 blur 20
1 blur 20
1 blur 20
0 blur 20
1 blur 20
1 blur 20
0 blur 20
1 blur 20
0 blur 20
0 blur 20
0 blur 20
1 blur 20
0 blur 20
1 blur 20
0 blur 20
0 blur 20
0 blur 20
1 blur 20
0 blur 20
1 blur 20
1 blur 20
1 blur 20
0 blur 20
1 blur 20
0 blur 20
1 blur 20
1 pixel 16
0 pixel 16
1 pixel 16
0 pixel 16
0 pixel 16
0 pixel 16
0 pixel 16
1 pixel 16
0 pixel 16
1 pixel 16
1 pixel 16
0 pixel 16
1 pixel 16
1 pixel 16
0 pixel 16
0 pixel 16
1 pixel 16
1 pixel 16
0 pixel 16
0 pixel 16
0 pixel 16
0 pixel 16
0 pixel 16
0 pixel 16
1 pixel 16
1 pixel 16
1 pixel 16
