1100
Aaron_Peirsol 1 2 Claudia_Schiffer 3
Aaron_Peirsol 3 4 Dan_Bartlett 1
Aaron_Sorkin 1 2 David_McKiernan 1
Abdel_Nasser_Assidi 1 2 Gregg_Berhalter 1
Abdullah 1 3 Dennis_Erickson 2
Abdullah 2 4 Paul_Tagliabue 1
Abdullah_al-Attiyah 1 3 Jessica_Brungo 1
Abdullah_al-Attiyah 2 3 Maria_Luisa_Mendonca 1
Abel_Pacheco 1 4 Mike_Myers 3
Abel_Pacheco 3 4 Gloria_Macapagal_Arroyo 34
Adam_Sandler 1 3 Evo_Morales 1
Adam_Sandler 1 4 Franck_Cerutti 1
Adam_Sandler 2 4 Raquel_Welch 2
Adam_Scott 1 2 Natalie_Cole 3
Adolfo_Aguilar_Zinser 1 3 Larry_Wilmore 1
Ahmed_Chalabi 2 4 Gary_Gitnick 1
Ai_Sugiyama 2 4 Zeng_Qinghong 1
Aicha_El_Ouafi 1 3 Allan_Houston 1
Aicha_El_Ouafi 2 3 Edgar_Savisaar 1
Akbar_Hashemi_Rafsanjani 1 3 Cristian_Barros 1
Akhmed_Zakayev 1 3 Coretta_Scott_King 1
Akhmed_Zakayev 2 3 Luis_Fonsi 1
Al_Gore 1 3 Cesar_Gaviria 4
Alan_Ball 1 2 Eric_Lloyd 1
Alberto_Fujimori 1 2 John_Daly_Jr 1
Alberto_Ruiz_Gallardon 1 2 Janet_Leigh 1
Albrecht_Mentz 1 2 Yang_Jianli 1
Alec_Baldwin 1 2 Irina_Framtsova 1
Alec_Baldwin 1 4 Queen_Sofia 1
Alec_Baldwin 2 3 Cristian_Barros 1
Alec_Baldwin 3 4 Linda_Baboolal 1
Alejandro_Toledo 20 38 Faisal_Iqbal 1
Alex_Barros 1 2 Stephen_Friedman 1
Alex_Sink 2 3 Katie_Couric 1
Alexandra_Stevenson 1 2 Kiki_Vandeweghe 1
Alexandra_Stevenson 1 3 Stefaan_Declerk 1
Alexandra_Vodjanikova 1 2 Rose_Marie 1
Ali_Abbas 1 2 Natalia_Dmitrieva 1
Ali_Khamenei 1 2 Thomas_Rupprath 3
Alice_Fisher 1 2 James_Barksdale 1
Alicia_Silverstone 1 2 Jennifer_Gratz 1
Alimzhan_Tokhtakhounov 1 2 Ernest_Hollings 1
Alison_Lohman 1 2 Lyudmila_Putin 1
Alvaro_Noboa 1 2 Roger_Federer 3
Alvaro_Noboa 2 3 Zara_Akhmadova 1
